Account Name,Account Type,Kind,Namespace,RoleRefName,RoleRefKind,apiGroups,Resources,Verbs
pvc-protection-controller,ServiceAccount,ClusterRoleBinding,,system:controller:pvc-protection-controller,ClusterRole,,events,"create, patch, update"
,,,,,,,persistentvolumeclaims,"get, list, update, watch"
,,,,,,,pods,"get, list, watch"
,,,,,,events.k8s.io,events,"create, patch, update"
replicaset-controller,ServiceAccount,ClusterRoleBinding,,system:controller:replicaset-controller,ClusterRole,,events,"create, patch, update"
,,,,,,,pods,"create, delete, list, patch, watch"
,,,,,,apps,replicasets,"get, list, update, watch"
,,,,,,apps,replicasets/finalizers,update
,,,,,,apps,replicasets/status,update
,,,,,,events.k8s.io,events,"create, patch, update"
,,,,,,extensions,replicasets,"get, list, update, watch"
,,,,,,extensions,replicasets/finalizers,update
,,,,,,extensions,replicasets/status,update
replication-controller,ServiceAccount,ClusterRoleBinding,,system:controller:replication-controller,ClusterRole,,events,"create, patch, update"
,,,,,,,pods,"create, delete, list, patch, watch"
,,,,,,,replicationcontrollers,"get, list, update, watch"
,,,,,,,replicationcontrollers/finalizers,update
,,,,,,,replicationcontrollers/status,update
,,,,,,events.k8s.io,events,"create, patch, update"
resourcequota-controller,ServiceAccount,ClusterRoleBinding,,system:controller:resourcequota-controller,ClusterRole,,events,"create, patch, update"
,,,,,,,resourcequotas/status,update
,,,,,,*,*,"list, watch"
,,,,,,events.k8s.io,events,"create, patch, update"
root-ca-cert-publisher,ServiceAccount,ClusterRoleBinding,,system:controller:root-ca-cert-publisher,ClusterRole,,configmaps,"create, update"
,,,,,,,events,"create, patch, update"
,,,,,,events.k8s.io,events,"create, patch, update"
route-controller,ServiceAccount,ClusterRoleBinding,,system:controller:route-controller,ClusterRole,,events,"create, patch, update"
,,,,,,,nodes,"list, watch"
,,,,,,,nodes/status,patch
,,,,,,events.k8s.io,events,"create, patch, update"
service-account-controller,ServiceAccount,ClusterRoleBinding,,system:controller:service-account-controller,ClusterRole,,events,"create, patch, update"
,,,,,,,serviceaccounts,create
,,,,,,events.k8s.io,events,"create, patch, update"
service-controller,ServiceAccount,ClusterRoleBinding,,system:controller:service-controller,ClusterRole,,events,"create, patch, update"
,,,,,,,nodes,"list, watch"
,,,,,,,services,"get, list, watch"
,,,,,,,services/status,"patch, update"
,,,,,,events.k8s.io,events,"create, patch, update"
statefulset-controller,ServiceAccount,ClusterRoleBinding,,system:controller:statefulset-controller,ClusterRole,,events,"create, patch, update"
,,,,,,,persistentvolumeclaims,"create, get"
,,,,,,,pods,"create, delete, get, list, patch, update, watch"
,,,,,,apps,controllerrevisions,"create, delete, get, list, patch, update, watch"
,,,,,,apps,statefulsets,"get, list, watch"
,,,,,,apps,statefulsets/finalizers,update
,,,,,,apps,statefulsets/status,update
,,,,,,events.k8s.io,events,"create, patch, update"
system:anonymous,User,RoleBinding,kube-public,kubeadm:bootstrap-signer-clusterinfo,Role,,configmaps.cluster-info,get
system:kube-controller-manager,User,ClusterRoleBinding,,system:kube-controller-manager,ClusterRole,,serviceaccounts,"create, get, update"
,,,,,,,configmaps,get
,,,,,,,endpoints.kube-controller-manager,"get, update"
,,,,,,,events,"create, patch, update"
,,,,,,,namespaces,get
,,,,,,,secrets,"create, delete, get, update"
,,,,,,,endpoints,create
,,,,,,,serviceaccounts/token,create
,,,,,,*,*,"list, watch"
,,,,,,authentication.k8s.io,tokenreviews,create
,,,,,,authorization.k8s.io,subjectaccessreviews,create
,,,,,,coordination.k8s.io,leases.kube-controller-manager,"get, update"
,,,,,,coordination.k8s.io,leases,create
,,,,,,events.k8s.io,events,"create, patch, update"
system:kube-controller-manager,User,RoleBinding,kube-system,extension-apiserver-authentication-reader,Role,,configmaps.extension-apiserver-authentication,"get, list, watch"
system:kube-controller-manager,User,RoleBinding,kube-system,system::leader-locking-kube-controller-manager,Role,,configmaps,watch
,,,,,,,configmaps.kube-controller-manager,"get, update"
system:kube-proxy,User,ClusterRoleBinding,,system:node-proxier,ClusterRole,,endpoints,"list, watch"
,,,,,,,events,"create, patch, update"
,,,,,,,nodes,"get, list, watch"
,,,,,,,services,"list, watch"
,,,,,,discovery.k8s.io,endpointslices,"list, watch"
,,,,,,events.k8s.io,events,"create, patch, update"
system:kube-scheduler,User,ClusterRoleBinding,,system:kube-scheduler,ClusterRole,,persistentvolumeclaims,"get, list, watch"
,,,,,,,services,"get, list, watch"
,,,,,,,pods/status,"patch, update"
,,,,,,,pods/binding,create
,,,,,,,persistentvolumes,"get, list, watch"
,,,,,,,endpoints,create
,,,,,,,bindings,create
,,,,,,,pods,"delete, get, list, watch"
,,,,,,,endpoints.kube-scheduler,"get, update"
,,,,,,,events,"create, patch, update"
,,,,,,,namespaces,"get, list, watch"
,,,,,,,nodes,"get, list, watch"
,,,,,,,replicationcontrollers,"get, list, watch"
,,,,,,apps,replicasets,"get, list, watch"
,,,,,,apps,statefulsets,"get, list, watch"
,,,,,,authentication.k8s.io,tokenreviews,create
,,,,,,authorization.k8s.io,subjectaccessreviews,create
,,,,,,coordination.k8s.io,leases,create
,,,,,,coordination.k8s.io,leases.kube-scheduler,"get, update"
,,,,,,events.k8s.io,events,"create, patch, update"
,,,,,,extensions,replicasets,"get, list, watch"
,,,,,,policy,poddisruptionbudgets,"get, list, watch"
,,,,,,storage.k8s.io,csinodes,"get, list, watch"
,,,,,,storage.k8s.io,csistoragecapacities,"get, list, watch"
,,,,,,storage.k8s.io,csidrivers,"get, list, watch"
system:kube-scheduler,User,ClusterRoleBinding,,system:volume-scheduler,ClusterRole,,persistentvolumeclaims,"get, list, patch, update, watch"
,,,,,,,persistentvolumes,"get, list, patch, update, watch"
,,,,,,storage.k8s.io,storageclasses,"get, list, watch"
system:kube-scheduler,User,RoleBinding,kube-system,extension-apiserver-authentication-reader,Role,,configmaps.extension-apiserver-authentication,"get, list, watch"
system:kube-scheduler,User,RoleBinding,kube-system,system::leader-locking-kube-scheduler,Role,,configmaps,watch
,,,,,,,configmaps.kube-scheduler,"get, update"
token-cleaner,ServiceAccount,RoleBinding,kube-system,system:controller:token-cleaner,Role,,events,"create, patch, update"
,,,,,,,secrets,"delete, get, list, watch"
,,,,,,events.k8s.io,events,"create, patch, update"
ttl-after-finished-controller,ServiceAccount,ClusterRoleBinding,,system:controller:ttl-after-finished-controller,ClusterRole,,events,"create, patch, update"
,,,,,,batch,jobs,"delete, get, list, watch"
,,,,,,events.k8s.io,events,"create, patch, update"
ttl-controller,ServiceAccount,ClusterRoleBinding,,system:controller:ttl-controller,ClusterRole,,events,"create, patch, update"
,,,,,,,nodes,"list, patch, update, watch"
,,,,,,events.k8s.io,events,"create, patch, update"
